ID,Người,Mảng,Việc,Mô tả và lý do,Phụ thuộc,Ưu tiên,Ước lượng (ngày),Dự kiến (ngày thứ),Định nghĩa Xong,Chi tiết đầy đủ
AI-01,Nhân,AI,Trợ lý AI trích dẫn được bài học,"Trợ lý đã đọc được hồ sơ thật của học viên (năng lực, nhật ký, kết quả thi thử) nhưng KHÔNG biết nội dung 76 bài, nên trả lời bằng kiến thức chung của mô hình — lệch cách trình bày của giáo trình, có khi sai. Cho nó tìm trong lessons.content_json và dẫn nguồn 'xem Bài 12 mục Lý thuyết'. Thử theo thứ tự rẻ→đắt: full-text search Postgres (76 bài là tập rất nhỏ) → nhúng vector từng thẻ lý thuyết → chỉ khi cùng đường mới bàn dịch vụ vector riêng.",ONB-02,P1,3,4-6,"Hỏi 10 khái niệm trong giáo trình thì dẫn đúng bài ở ít nhất 8 câu; hỏi 3 thứ ngoài giáo trình thì cả 3 lần nói thẳng là không có, không bịa số bài.",CHI_TIET_CONG_VIEC_SPRINT1.md → AI-01
DB-02,Nhân,CSDL,Thiết kế bảng giao bài và nộp bài,"THIẾT KẾ, chưa code API — vì còn một câu chưa ai trả lời: TopHSA có chấm tự luận bằng tay không? Có thì phải nộp file/ảnh + giao diện chấm; không thì chỉ trắc nghiệm tự chấm. Thiết kế cả hai nhánh, đánh dấu rõ chỗ phụ thuộc. Phải quyết và ghi lý do: giao cho lớp hay cá nhân, nộp muộn chặn hay nhận-và-đánh-dấu, nộp lại giữ hết hay giữ lần cuối, bài đã chấm có đẻ learning_events không.",ONB-02,P1,2,7-8,"DDL idempotent trong legacy_schema.sql + tài liệu luồng giao/nộp/chấm, đánh dấu rõ phần chờ TopHSA.",CHI_TIET_CONG_VIEC_SPRINT1.md → DB-02
DB-03,Nhân,CSDL,Nhật ký kiểm toán và chính sách quyền riêng tư,"Giảng viên xem được nhật ký học của học viên, kể cả dòng học viên tự viết — mà học viên chưa từng được cho biết. Trước khi mở rộng ra phụ huynh phải có: bảng audit_log ghi ai xem gì lúc nào, và một trang chính sách viết bằng tiếng người (người đọc là học sinh 17 tuổi, không phải luật sư). Ghi log không được làm hỏng request — dùng savepoint như common/events.py.",ONB-02,P2,1.5,9-10,"Mở hồ sơ một học viên có dòng log; học viên nhìn thấy dòng thông báo trên khối nhật ký; có tài liệu chính sách.",CHI_TIET_CONG_VIEC_SPRINT1.md → DB-03
FE-02,Phương Nam,Frontend,Bộ component lõi,"Frontend là vỏ Next bọc 15.668 dòng JS thuần, riêng dashboard.js 4.173 dòng — ba FE dev không thể làm song song trong một file như thế. Bộ component này gỡ nút thắt đó nên là việc frontend đầu tiên. Tám cái: Button, Card, Tile, Table, Modal, Toast, Chip, EmptyState. CSS Modules, màu qua var() của theme.css. CHƯA thêm Tailwind (token đã có và đang chạy; thêm framework thứ hai giữa lúc chuyển đổi = nuôi hai hệ thống). Ràng buộc: vùng chạm 44x44, minmax(0,1fr) không phải 1fr, không hex cứng, không emoji làm icon, đúng ở CẢ HAI theme.",ONB-03;DS-01,P0,3,2-4,"8 component có props rõ ràng, chạy đúng ở cả sáng và tối, VÀ đã thay được ít nhất một chỗ dùng thật.",CHI_TIET_CONG_VIEC_SPRINT1.md → FE-02
FE-03,Phương Nam,Frontend,Chuyển trang Quản trị sang React,"admin.inline.js 678 dòng. Chọn trang này đi đầu là có tính toán: nhiều CRUD nhất (học được nhiều) nhưng ít người dùng cuối thấy nhất (vỡ thì nhẹ) — đây là bài tập rút quy trình chuyển đổi cho các trang sau. Gồm 6 mục: khoá học, bài học, soạn nội dung, lớp học, học viên trong lớp, tài khoản & vai trò. Gọi API qua lib/api.ts (apiFetch tự gắn JWT), không fetch trần. Xoá admin.inline.js NGAY trong cùng PR.",FE-02;FE-01,P1,3,5-7,"Trang Quản trị chạy hoàn toàn bằng React, admin.inline.js đã xoá khỏi repo, ảnh so sánh không lệch, thao tác được đủ 6 mục.",CHI_TIET_CONG_VIEC_SPRINT1.md → FE-03
FE-07,Phương Nam,Frontend,Chuyển khối Giảng dạy sang React,"Khối tc-* trong dashboard.js. Đây là màn MẬT ĐỘ CAO (giảng viên quét mắt tìm ai cần gọi điện hôm nay), khác hẳn màn học viên — giữ nguyên sự khác biệt đó, đừng đồng bộ hoá cho 'nhất quán'. Nhiều bảng nhất nên là chỗ thử component Table trước khi nhân rộng. Giữ đúng: ô cảnh báo chỉ đổi màu khi số > 0; bậc thành thạo is-l1..is-l4 dùng chung với bản đồ năng lực phía học viên; bảng cuộn ngang trong khung riêng.",FE-02;FE-05,P1,2.5,8-10,"Khối chạy bằng React, legacy đã xoá, ảnh không lệch, thử với cả tài khoản Giảng viên lẫn Quản trị.",CHI_TIET_CONG_VIEC_SPRINT1.md → FE-07
DS-01,Thái,Thiết kế,Kiểm kê và viết tài liệu design system,"theme.css đã là nguồn màu duy nhất và làm tử tế (sáng/tối, tương phản đã kiểm, có ghi chú lý do), NHƯNG chưa ai viết ra thang chữ, thang khoảng cách, độ nổi, các trạng thái. Thiếu tài liệu này thì bộ component của Phương Nam sẽ tự chế lại mỗi thứ một kiểu. Đầu ra: docs/DESIGN_SYSTEM.md + một trang HTML mẫu hiển thị toàn bộ token mở được ở cả hai theme + danh sách chỗ đang lệch chuẩn phát hiện được.",ONB-04,P0,2,2-3,"Phương Nam dựng được 8 component mà KHÔNG phải mở theme.css lần nào.",CHI_TIET_CONG_VIEC_SPRINT1.md → DS-01
DS-02,Thái,Thiết kế,Hai phương án thị giác cho ba màn hình chủ chốt,"Trang của tôi, Bài học, Lộ trình. Người dùng là học sinh lớp 11-12 đang lo thi: đừng biến thành SaaS dashboard xám, nhưng cũng ĐỪNG gamify mọi thứ (bài học là chỗ học thật; huy hiệu/streak chỉ là vỏ động viên bên ngoài — ranh giới này đã trả giá để rút ra). Nhớ hai khu vực có ngôn ngữ thiết kế khác nhau CÓ CHỦ ĐÍCH: học viên thoáng, giảng viên mật độ cao. Dựng bằng HTML tĩnh dùng token thật (không phải ảnh mockup) vì ảnh không cho biết phương án có sống được với chữ tiếng Việt có dấu và hai theme không. Kiểm bằng nội dung thật: tên chủ đề dài nhất, trạng thái rỗng, lớp 1 học viên và lớp 30 học viên.",DS-01,P1,3,4-6,"Hai phương án mở được trên trình duyệt ở cả hai theme, có ghi chú lý do, đủ để cả nhóm bỏ phiếu chọn một.",CHI_TIET_CONG_VIEC_SPRINT1.md → DS-02
DS-03,Thái,Dọn dẹp,Xoá mã chết và gộp bộ icon,"17.086 dòng không file nào nạp (đã dò ngược mọi tham chiếu từ src): lesson_content_hsa.js 5.847 dòng (76 bài đã vào CSDL từ 19/08), lesson_db_design.css 11.061 dòng (di sản sản phẩm dạy SQL cũ), lesson.css 178 dòng. Thêm nữa trang bài học nạp FontAwesome từ CDN trong khi đã có bộ SVG icons.js — hai bộ icon = tải thừa + hai phong cách nét trên cùng màn hình. Xoá TỪNG FILE MỘT, mỗi file một commit, đối chiếu ảnh chuẩn sau mỗi lần. CẨN THẬN: lesson_chrome.css và lesson_hsa.css VẪN ĐANG DÙNG, đừng xoá nhầm.",ONB-04,P1,1.5,7-8,"Ba file đã xoá, không trang nào vỡ, trang bài học không còn gọi CDN icon, ghi lại kích thước tải trước/sau.",CHI_TIET_CONG_VIEC_SPRINT1.md → DS-03
DS-04,Thái,Tiếp cận,Rà tương phản và vùng chạm sau khi chốt phương án,"Không phải việc làm cho đẹp mà là ngưỡng sản phẩm — học viên dùng điện thoại là chính. Tương phản >= 4.5:1, vùng chạm >= 44x44 con trỏ thô và >= 24x24 mọi con trỏ, ô nhập >= 16px. CẠM BẪY đã mất thời gian một lần: elementHandle.screenshot() của Playwright PHÁ mô phỏng cảm ứng — cùng một nút, lượt có chụp ảnh đo ra 26x26, lượt không chụp đo ra 44x44. Đo trong một lượt KHÔNG chụp ảnh nào.",DS-02,P2,1.5,9-10,"Báo cáo đo trên đủ 10 màn hình của FE-01, không còn vùng chạm dưới sàn, không còn cặp màu dưới 4.5:1.",CHI_TIET_CONG_VIEC_SPRINT1.md → DS-04
FE-01,Trí Thành,Frontend,Lưới an toàn kiểm thị giác,"Cả nhóm sắp chuyển hàng nghìn dòng JS sang React; không có ảnh chuẩn thì mỗi lần chuyển đều là đoán. Phải xong TRƯỚC khi ai bắt đầu chuyển khối. LƯU Ý: @playwright/test có sẵn nhưng ở frontend/package.json chứ không phải package.json gốc (cd frontend && pnpm install && pnpm exec playwright install chromium). Và frontend/e2e/ đã có config + helpers + 3 spec, nhưng 2 spec là DI SẢN của sản phẩm dạy SQL cũ (pe-run-sql, drag-regression — dùng PE_runSQL, /lesson/db_design) không chạy được trên HSA; helpers.openLesson() cũng hardcode db_design; baseURL mặc định 3000 trong khi dự án chạy 3100; tài khoản test mặc định audit@example.com không tồn tại. Dọn những thứ đó là một phần của việc này. Chụp 10 MÀN HÌNH (danh sách đầy đủ ở tài liệu chi tiết) x 2 theme x 2 khổ = 40 ảnh chuẩn.",ONB-05,P0,2,2-3,"Một lệnh chạy ra báo cáo so sánh; cố tình đổi một màu trong theme.css thì script PHẢI báo lệch; README đã viết; hai spec chết đã xoá.",CHI_TIET_CONG_VIEC_SPRINT1.md → FE-01
FE-04,Trí Thành,Frontend,Bản đồ dashboard.js,"4.173 dòng, khoảng 7 khối tính năng nối đuôi nhau, ba người sắp cùng mổ file này — không có bản đồ thì đụng nhau, hoặc tệ hơn: hai người cùng sửa một biến window.* mà không biết. ĐỌC VÀ GHI LẠI, KHÔNG SỬA CODE. Mỗi khối ghi 6 mục: khoảng dòng, API gọi, biến window.* tạo/đọc, ID-lớp DOM cần, file CSS tương ứng, phụ thuộc chéo. Các khối đã biết: thẻ số tổng quan, bản đồ năng lực (cmp-*), đường cong + sổ điểm (cv-*, bk-*), nhật ký (jr-*), kế hoạch (pl-*), giảng dạy (tc-*), lộ trình (file riêng).",ONB-05,P0,1.5,4-5,"Đủ 7 khối, mỗi khối đủ 6 mục; cả nhóm đồng ý thứ tự tách.",CHI_TIET_CONG_VIEC_SPRINT1.md → FE-04
FE-05,Trí Thành,Frontend,Chuyển khối Kế hoạch sang React,"Khối pl-* — phức tạp nhất trong dashboard.js. ĐỌC backend/stats/plan.py TRƯỚC KHI viết giao diện vì có hai quy tắc dễ vô tình phá: (1) tuần đã lên lịch là BẤT BIẾN, việc chưa làm được dồn lúc ĐỌC chứ không ghi đè week_start — nếu 'tiện tay' ghi lại cho gọn thì con số độ trễ vĩnh viễn bằng 0 và không ai phát hiện; (2) trạng thái hoàn thành SUY RA từ learning_events lúc đọc, không lưu cột riêng. Chi tiết phải giữ: thu gọn các tuần từ tuần 7 trở đi (trang từng dài 7562px, đã sửa còn 2887px); mục tiêu tuần có BA trạng thái chưa đặt / đặt 0 / dương; lý do chèn bài ôn phải nói số điểm thật và ngưỡng; nút bỏ qua >= 44x44.",FE-02;FE-04,P0,3,6-8,"Khối chạy bằng React, legacy đã xoá, ảnh không lệch, VÀ độ trễ vẫn tính đúng (bỏ trống một tuần, tuần sau xem số chậm có tăng).",CHI_TIET_CONG_VIEC_SPRINT1.md → FE-05
FE-06,Trí Thành,Frontend,Chuyển khối Nhật ký và mục tiêu tuần sang React,"Khối jr-*, backend ở stats/journal.py. RANH GIỚI QUAN TRỌNG NHẤT: số tự khai (source='self') và số đo được (source='system') không bao giờ trộn vào cùng biểu đồ hay cùng phép tính — học viên khai 300 phút rồi thấy đường tiến bộ vọt lên sẽ hiểu ngay số này vô nghĩa và từ đó không tin con số nào nữa. Ranh giới đang giữ ở BA nơi (cột source, phép tính backend, cách hiển thị), bạn chịu trách nhiệm nơi thứ ba. Mục tiêu tuần là ADAPTIVE: hệ thống tự đề nghị theo số bài còn lại và số ngày tới kỳ thi, và khi lịch không vừa thì nói thẳng phải bỏ bao nhiêu bài — giữ nguyên phần nói thẳng đó, đừng làm cho 'tích cực' hơn.",FE-05,P1,1.5,9-10,"Khối chạy bằng React, legacy đã xoá, số tự khai vẫn tách bạch, cảnh báo khi lịch không vừa vẫn hiện đúng.",CHI_TIET_CONG_VIEC_SPRINT1.md → FE-06
